indice_tiempo,empresa,direccion,localidad,provincia,region,producto,precio,fecha_vigencia,empresabandera,latitud,longitud,geojson,abreviatura_provincia,latitud_rad,longitud_rad,cantidad_estaciones_alrededor
2024-09,SERVICIOS LUARCA S.A.,"AV. LURO 4702, ESQ. NEUQUEN",MAR DEL PLATA,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1226.0,2024-09-02 13:34:00,SHELL C.A.P.S.A.,-37.987999,-57.5677,"{""type"":""Point"",""coordinates"":[-57.5677,-37.987999]}",BA,-0.6630156587943135,-1.0047459078003398,4
2024-09,SERVICIOS LUARCA S.A.,COLECTORA SUR RUTA NAC. 5 442 ESQ LUCIO V. MANSILLA 442 (JAUREGUI),JAUREGUI,BUENOS AIRES,,Nafta (súper) entre 92 y 95 Ron,1141.0,2024-09-02 13:28:00,SHELL C.A.P.S.A.,-34.6106175291582,-59.1760455738344,"{""type"":""Point"",""coordinates"":[-59.1760455738344,-34.6106175291582]}",BA,-0.604069232032275,-1.0328168335736274,3
2024-09,SERVICIOS LUARCA S.A.,RUTA 25 ENTRE DON BOSCO Y MOCTEZUMA 1402,MORENO,BUENOS AIRES,,Nafta (súper) entre 92 y 95 Ron,1155.0,2024-09-01 04:01:00,AXION,-34.605201,-58.819249,"{""type"":""Point"",""coordinates"":[-58.819249,-34.605201]}",BA,-0.6039746957644343,-1.0265895586003821,3
2024-09,SERVICIOS PADUA S.A.,AV. PTE. PERON 24498,SAN ANTONIO DE PADUA,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1149.0,2024-09-04 08:55:00,AXION,-34.667294,-58.709483,"{""type"":""Point"",""coordinates"":[-58.709483,-34.667294]}",BA,-0.6050584230568751,-1.024673780493638,3
2024-09,SERVICIOS PADUA S.A,BALBIN 1295,MERLO,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1149.0,2024-09-04 08:56:00,AXION,-34.66545,-58.7357,"{""type"":""Point"",""coordinates"":[-58.7357,-34.66545]}",BA,-0.6050262391854683,-1.0251313534636335,3
2024-09,SERVICIOS PILAR S.A.,NAZARRE Y CASTRO,PILAR,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1133.0,2024-09-01 00:00:00,YPF,-34.46332,-58.91279,"{""type"":""Point"",""coordinates"":[-58.91279,-34.46332]}",BA,-0.6014984051684122,-1.0282221570359902,3
2024-09,SERVICIOS PILAR S.A.,ruta 28 y fitz roy s/n,PILAR,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1133.0,2024-09-01 00:00:00,YPF,-34.46834,-58.91723,"{""type"":""Point"",""coordinates"":[-58.91723,-34.46834]}",BA,-0.6015860206968623,-1.0282996496547787,4
2024-09,SERVICIOS RIO V S.R.L.,AV. 25 DE MAYO 99,VILLA MERCEDES,SAN LUIS,CUYO,Nafta (súper) entre 92 y 95 Ron,1126.0,2024-09-01 08:17:00,SHELL C.A.P.S.A.,-33.68995,-65.47289,"{""type"":""Point"",""coordinates"":[-65.47289,-33.68995]}",SL,-0.5880005523322637,-1.1427175012960704,7
2024-09,SERVICIOS RIO V S.R.L.,AV. PTE. JUAN D. PERON 1192,VILLA MERCEDES,SAN LUIS,CUYO,Nafta (súper) entre 92 y 95 Ron,1120.0,2024-09-01 08:20:00,GULF,-33.673998,-65.450468,"{""type"":""Point"",""coordinates"":[-65.450468,-33.673998]}",SL,-0.5877221374099855,-1.142326163571188,3
2024-09,SERVICIOS RUTA 21 SRL,Ruta Prov. 21 283,PUEBLO ESTHER,SANTA FE,CENTRO,Nafta (súper) entre 92 y 95 Ron,1188.0,2024-09-02 08:50:00,SHELL C.A.P.S.A.,-33.087833,-60.567954,"{""type"":""Point"",""coordinates"":[-60.567954,-33.087833]}",SF,-0.577491628200033,-1.0571102184964696,3
